"","Plot","SampleYear","Species","TotalStem","LiveBiomass","Elevation","Slope","BurnScar","PRam","Fire","HostCwdMass","PlotCwdMass"
"199","BS188",2014,"Tanoak",17,905.54084999532,259,28,"control","1","0",55.3839905573396,55.3839905573396
"200","BS188",2014,"Bay laurel",7,7160.56003686456,259,28,"control","1","0",55.3839905573396,55.3839905573396
"201","BS194",2009,"Bay laurel",2,10.9337610123442,417,38,"sober_chalk","1","1",19.3408241058116,21.3440684695849
"202","BS194",2011,"Tanoak",16,63.061381929368,417,38,"sober_chalk","1","1",19.3408241058116,23.6645573975058
"203","BS194",2011,"Bay laurel",176,78562.2754205264,417,38,"sober_chalk","1","1",19.3408241058116,23.6645573975058
"204","BS194",2014,"Tanoak",42,755.833636877555,417,38,"sober_chalk","1","1",16.0928842914317,32.3032307281496
"205","BS194",2014,"Bay laurel",189,91783.923625856,417,38,"sober_chalk","1","1",16.0928842914317,32.3032307281496
"206","BS194",2022,"Tanoak",3,202.428863775018,417,38,"sober_chalk","1","1",0.291896278855606,4.05485131223561
"207","BS194",2022,"Bay laurel",73,100595.018577986,417,38,"sober_chalk","1","1",0.291896278855606,4.05485131223561
"208","BS195",2011,"Tanoak",9,24.9145196421359,579,42,"sober_chalk","1","1",3.75306431251076,3.75306431251076
"209","BS195",2011,"Bay laurel",22,158.988047682603,579,42,"sober_chalk","1","1",3.75306431251076,3.75306431251076
"210","BS195",2014,"Tanoak",55,793.841770996343,579,42,"sober_chalk","1","1",20.6540572991883,24.4681136823769
"211","BS195",2014,"Bay laurel",31,1051.75884763875,579,42,"sober_chalk","1","1",20.6540572991883,24.4681136823769
"212","BS195",2019,"Tanoak",2,68.1857329432907,579,42,"sober_chalk","1","1",0.3334845502422,0.3334845502422
"213","BS195",2019,"Bay laurel",2,10.209159322858,579,42,"sober_chalk","1","1",0.3334845502422,0.3334845502422
"214","BS196",2023,"Bay laurel",21,37277.1060656685,646,30,"sober_chalk","1","1",27.746799134185,31.156377277409
"215","BS202",2014,"Bay laurel",22,247.719620797514,770,37,"sober_chalk","1","1",1.54616941765933,2.3181601940669
"216","BS202",2019,"Bay laurel",3,9.07164273401927,770,37,"sober_chalk","1","1",1.16247797256404,5.15654693929829
"217","BS202",2023,"Bay laurel",5,107.742378032627,770,37,"sober_chalk","1","1",1.39794799640999,5.39201696314424
"218","BS217",2009,"Tanoak",1,3.39050607085258,127,30,"sober_chalk","1","1",1.50932597284051,1.50932597284051
"219","BS217",2011,"Tanoak",1,3.39050607085258,127,30,"sober_chalk","1","1",1.73770332585815,1.73770332585815
"220","BS217",2014,"Tanoak",4,31.8396044587636,127,30,"sober_chalk","1","1",1.73770332585815,1.73770332585815
"221","BS220",2009,"Tanoak",3,404.229438224292,231,40,"sober_chalk","1","1",9.71530641887778,10.2899637333344
"222","BS220",2009,"Bay laurel",1,1790.15381023434,231,40,"sober_chalk","1","1",9.71530641887778,10.2899637333344
"223","BS221",2010,"Tanoak",3,10.4168224345549,435,30,"sober_chalk","1","1",16.6153897388914,16.6153897388914
"224","BS221",2010,"Redwood",32,250.219681631487,435,30,"sober_chalk","1","1",16.6153897388914,16.6153897388914
"225","BS221",2013,"Tanoak",113,1361.15209680452,435,30,"sober_chalk","1","1",42.1623803642042,42.1623803642042
"226","BS221",2013,"Tanoak",113,1361.15209680452,435,30,"sober_chalk","1","1",42.1623803642042,42.1623803642042
"227","BS221",2013,"Redwood",37,1037.70464250873,435,30,"sober_chalk","1","1",42.1623803642042,42.1623803642042
"228","BS221",2013,"Redwood",37,1037.70464250873,435,30,"sober_chalk","1","1",42.1623803642042,42.1623803642042
"229","BS221",2018,"Tanoak",21,1055.09334862544,435,30,"sober_chalk","1","1",0.582087318428453,0.582087318428453
"230","BS221",2018,"Redwood",24,3292.29295426488,435,30,"sober_chalk","1","1",0.582087318428453,0.582087318428453
"231","BS221",2023,"Tanoak",30,6067.21452429768,435,30,"sober_chalk","1","1",0.460728249423417,0.460728249423417
"232","BS221",2023,"Redwood",23,7791.92515466225,435,30,"sober_chalk","1","1",0.460728249423417,0.460728249423417
"233","BS222",2009,"Redwood",1,253.513515811088,416,37,"sober_chalk","1","1",117.668111203885,162.05746633148
"234","BS224",2010,"Tanoak",38,201.451364059056,435,31,"sober_chalk","1","1",1.34620749061167,1.34620749061167
"235","BS224",2010,"Redwood",6,359290.568864861,435,31,"sober_chalk","1","1",1.34620749061167,1.34620749061167
"236","BS224",2013,"Tanoak",297,4782.84496667368,435,31,"sober_chalk","1","1",2.45371030870568,2.45371030870568
"237","BS224",2013,"Redwood",7,352720.263416473,435,31,"sober_chalk","1","1",2.45371030870568,2.45371030870568
"238","BS224",2018,"Tanoak",240,18863.8263606999,435,31,"sober_chalk","1","1",1.27069484069235,1.27069484069235
"239","BS224",2018,"Redwood",5,350920.03969781,435,31,"sober_chalk","1","1",1.27069484069235,1.27069484069235
"240","BS224",2022,"Tanoak",137,39420.4135800386,435,31,"sober_chalk","1","1",3.31315437671229,3.31315437671229
"241","BS224",2022,"Redwood",5,377462.15884768,435,31,"sober_chalk","1","1",3.31315437671229,3.31315437671229
