"","CwdId","Plot","SampleYear","Fire","PRam","Species","DecayClass","Mass","tInit","t","Mass0","Y"
"411",519,"BS457",2018,1,1,"Redwood",1,0.423711314867944,2009,9,0.423711314867944,0
"412",520,"BS457",2018,1,1,"Redwood",1,0.0114053813178064,2010,8,0.0114053813178064,0
"413",521,"BS457",2018,1,1,"Redwood",2,0.153733565105136,2018,0,0.153733565105136,0
"414",522,"BS457",2018,1,1,"Redwood",1,0.0161121171954466,2010,8,0.0161121171954466,0
"415",523,"BS457",2018,1,1,"Redwood",2,0.0296964100841996,2018,0,0.0296964100841996,0
"416",513,"BS457",2018,1,1,"Tanoak",3,0.195595078235691,2018,0,0.195595078235691,0
"417",514,"BS457",2018,1,1,"Tanoak",3,0.0282434171499361,2010,8,0.0282434171499361,0
"418",685,"BS457",2018,1,1,"Tanoak",3,0.0483253905328895,2018,0,0.0483253905328895,0
"419",686,"BS457",2018,1,1,"Redwood",1,0.0123011970596941,2013,5,0.0123011970596941,0
"420",687,"BS457",2018,1,1,"Tanoak",3,0.058818369809278,2013,5,0.058818369809278,0
"421",688,"BS457",2018,1,1,"Tanoak",3,0.0411322064215856,2018,0,0.0411322064215856,0
"422",524,"BS457",2018,1,1,"Redwood",1,0.87708948531369,2009,9,0.87708948531369,0
"423",525,"BS457",2018,1,1,"Redwood",1,0.121341475620077,2009,9,0.121341475620077,0
