"","Plot","SampleYear","Elevation","Slope","BurnScar","PRam","Fire","HostCwdMass","PlotCwdMass","DeadHostBiomass"
"196","BS301",2013,510,27,"dolan_chalk",1,1,7.335685978113,8.75733667709128,138992.070433922
"197","BS301",2018,510,27,"dolan_chalk",1,1,48.6429297517568,57.6619190781243,41876.5755504381
"198","BS312",2019,583,26,"control",1,0,18.4108619189913,23.0369318772541,188687.164735262
"199","BS312",2022,583,26,"control",1,0,21.9710210246808,26.8963975878039,NA
"200","BS313",2010,581,20,"control",1,0,13.5784615098832,299.56948480844,13818.7662039622
"201","BS313",2013,581,20,"control",1,0,3.11131718662099,304.146327486077,12905.788143621
"202","BS313",2018,581,20,"control",1,0,19.3330470746718,321.526942985355,542.429288859776
"203","BS313",2022,581,20,"control",1,0,35.8497707705485,338.043666681232,10821.4500820361
"204","BS316",2011,576,27,"control",1,0,7.31489657391881,7.31489657391881,22194.1746188956
"205","BS316",2014,576,27,"control",1,0,5.74066279856311,5.74066279856311,42219.3913820524
"206","BS316",2019,576,27,"control",1,0,9.23513726990267,11.3266819799585,18.4110579829544
"207","BS316",2022,576,27,"control",1,0,27.5464358123754,29.42917547178,25388.0513539774
"208","BS326",2009,720,39,"control",1,0,0.699222545342522,3.35004755989549,8587.53638594635
"209","BS326",2011,720,39,"control",1,0,0.943614147851053,4.18892315361908,10329.5992058216
"210","BS326",2014,720,39,"control",1,0,0.943614147851053,4.18892315361908,11245.6136377265
"211","BS328",2009,433,23,"control",0,0,0.382905420774068,0.634660590274929,381.739480133407
"212","BS328",2011,433,23,"control",1,0,2.38452307262624,2.38452307262624,7447.12808255257
"213","BS328",2014,433,23,"control",1,0,7.34800103081579,7.34800103081579,44390.2559313737
"214","BS328",2019,433,23,"control",1,0,10.4558781337602,10.4558781337602,285440.760814383
"215","BS328",2022,433,23,"control",1,0,38.4090268903848,38.4090268903848,57943.5034861975
"216","BS355",2013,470,33,"sober_chalk",0,1,1.80780461955179,3.03256380509638,28688.0985836821
"217","BS355",2013,470,33,"sober_chalk",0,1,1.80780461955179,3.03256380509638,28688.0985836821
"218","BS355",2018,470,33,"sober_chalk",0,1,1.03748717974014,19.3457403750616,10570.1402830032
"219","BS355",2018,470,33,"sober_chalk",0,1,1.03748717974014,19.3457403750616,10570.1402830032
"220","BS355",2023,470,33,"sober_chalk",0,1,0.822141953607664,21.1287889753927,NA
"221","BS355",2023,470,33,"sober_chalk",0,1,0.822141953607664,21.1287889753927,NA
"222","BS360",2014,935,26,"sober_chalk",0,1,48.919787287188,68.7301246794431,2764.06636557
"223","BS373",2009,780,25,"chalk",1,1,12.3211110743052,14.1201538699075,NA
"224","BS373",2022,780,25,"chalk",1,1,32.5662619707047,38.5682066741435,16007.9464718763
"225","BS379",2009,740,37,"chalk",1,1,98.3702611788024,98.3702611788024,NA
"226","BS383",2009,419,13,"dolan",1,0,45.6313251843916,45.6313251843916,NA
