"","Plot","SampleYear","Species","TotalStem","LiveBiomass","Elevation","Slope","BurnScar","PRam","Fire"
"278","BS073",2007,"ARME",31,10345.615618025,601,10,"dolan",1,0
"279","BS073",2007,"LIDE",2,42.1514104680908,601,10,"dolan",1,0
"280","BS073",2007,"PIPO",11,311.646513703189,601,10,"dolan",1,0
"281","BS073",2007,"QUAG",7,184972.524107006,601,10,"dolan",1,0
"282","BS073",2007,"UMCA",18,3625.54152054653,601,10,"dolan",1,0
"283","BS073",2011,"ARME",30,16614.4078004592,601,10,"dolan",1,0
"284","BS073",2011,"PIPO",10,244.479398903484,601,10,"dolan",1,0
"285","BS073",2011,"QUAG",6,191066.009440298,601,10,"dolan",1,0
"286","BS073",2011,"UMCA",18,4688.42374950663,601,10,"dolan",1,0
"287","BS073",2014,"ARME",22,5771.74183750315,601,10,"dolan",1,0
"288","BS073",2014,"PIPO",7,147.22291353663,601,10,"dolan",1,0
"289","BS073",2014,"QUAG",5,191995.354325459,601,10,"dolan",1,0
"290","BS073",2014,"UMCA",16,5076.90667448918,601,10,"dolan",1,0
"291","BS073",2019,"ARME",18,6106.43520136798,601,10,"dolan",1,0
"292","BS073",2019,"PIPO",5,117.001394466154,601,10,"dolan",1,0
"293","BS073",2019,"QUAG",5,207977.507084008,601,10,"dolan",1,0
"294","BS073",2019,"UMCA",17,6642.95420690921,601,10,"dolan",1,0
"295","BS073",2021,"QUAG",3,192344.19813913,601,10,"dolan",1,1
"296","BS073",2021,"UMCA",14,39.8615719836501,601,10,"dolan",1,1
"297","BS076",2006,"ARME",19,301346.465620165,575,26,"sober",1,0
"298","BS076",2006,"LIDE",95,274190.492619046,575,26,"sober",1,0
"299","BS077",2006,"ARME",4,35362.6585876594,588,27,"sober",1,0
"300","BS077",2006,"LIDE",5,34.0972227744803,588,27,"sober",1,0
"301","BS077",2019,"ARME",3,35399.5412317759,588,27,"sober",1,1
"302","BS077",2023,"ARME",4,36921.6009586499,588,27,"sober",1,1
"303","BS077",2023,"ARME",4,36921.6009586499,588,27,"sober",1,1
"304","BS077",2023,"LIDE",1,2.172616656381,588,27,"sober",1,1
"305","BS077",2023,"LIDE",1,2.172616656381,588,27,"sober",1,1
"306","BS078",2006,"ARME",1,42307.3977894167,605,27,"sober",1,0
"307","BS078",2006,"LIDE",56,5165.19805063513,605,27,"sober",1,0
"308","BS078",2006,"UMCA",4,343.928122576098,605,27,"sober",1,0
"309","BS078",2023,"ARME",15,368.580009273198,605,27,"sober",1,1
"310","BS078",2023,"LIDE",135,8737.9922818137,605,27,"sober",1,1
"311","BS078",2023,"UMCA",13,1292.82778603163,605,27,"sober",1,1
"312","BS079",2006,"ARME",3,123113.517994796,730,20,"sober",1,0
"313","BS079",2006,"LIDE",74,154914.878760155,730,20,"sober",1,0
"314","BS079",2006,"UMCA",15,1617.31422916859,730,20,"sober",1,0
"315","BS080",2006,"ARME",35,6333.7603820768,856,32,"sober",0,0
"316","BS080",2006,"LIDE",56,96612.5283667262,856,32,"sober",0,0
"317","BS081",2006,"LIDE",41,258805.254960068,308,23,"sober",1,0
"318","BS081",2006,"SESE",37,261958.909545732,308,23,"sober",1,0
"319","BS081",2006,"UMCA",1,178.951904547918,308,23,"sober",1,0
"320","BS081",2018,"LIDE",1,2.74171715347838,308,23,"sober",1,1
"321","BS081",2018,"SESE",69,237244.202406118,308,23,"sober",1,1
"322","BS081",2023,"LIDE",5,82.1526193275441,308,23,"sober",1,1
"323","BS081",2023,"SESE",68,233885.468688372,308,23,"sober",1,1
"324","BS081",2023,"UMCA",1,11.6663002408312,308,23,"sober",1,1
"325","BS083",2006,"ARME",1,3207.10407394751,426,21,"control",1,0
"326","BS083",2006,"LIDE",4,12392.242979154,426,21,"control",1,0
"327","BS083",2006,"QUAG",3,40903.5093999232,426,21,"control",1,0
"328","BS083",2006,"UMCA",9,26539.5250236209,426,21,"control",1,0
"329","BS084",2006,"LIDE",14,94964.0094481995,432,36,"sober",1,0
"330","BS084",2006,"SESE",17,216253.560931345,432,36,"sober",1,0
