Plot,SampleYear,Species,DecayClass,VolumePlot,Density,MassPlot
BS165,2022,LIDE,3,0.19481016,0.383580113,0.074725303
BS168,2009,LIDE,3,1.214665384,0.383580113,0.465921485
BS168,2018,LIDE,3,0.813287121,0.383580113,0.311960766
BS168,2023,LIDE,3,0.668085478,0.383580113,0.256264303
BS194,2014,LIDE,3,2.097721408,0.383580113,0.804644215
BS195,2009,LIDE,3,0.115924769,0.383580113,0.044466436
BS195,2019,LIDE,3,0.04347,0.383580113,0.016674228
BS221,2009,LIDE,3,0.125663706,0.383580113,0.048202099
BS221,2010,LIDE,3,0.125663706,0.383580113,0.048202099
BS221,2013,LIDE,3,0.700508403,0.383580113,0.268701092
BS221,2018,LIDE,3,0.001941836,0.383580113,0.00074485
BS224,2009,LIDE,3,0.186977542,0.383580113,0.071720867
BS224,2010,LIDE,3,0.175479313,0.383580113,0.067310375
BS224,2013,LIDE,3,0.133169913,0.383580113,0.05108133
BS224,2018,LIDE,3,0.133665913,0.383580113,0.051271586
BS224,2022,LIDE,3,0.431872543,0.383580113,0.165657719
BS226,2009,LIDE,3,0.216475369,0.383580113,0.083035647
BS226,2018,LIDE,3,1.121063627,0.383580113,0.430017713
BS226,2023,LIDE,3,0.176622336,0.383580113,0.067748816
BS241,2023,LIDE,3,1.406491031,0.383580113,0.539501989
BS242,2018,LIDE,3,0.089015,0.383580113,0.034144384
BS273,2019,LIDE,3,0.233255401,0.383580113,0.089472133
BS273,2022,LIDE,3,0.233255401,0.383580113,0.089472133
BS276,2023,LIDE,3,0.716307669,0.383580113,0.274761377
BS277,2021,LIDE,3,0.187113258,0.383580113,0.071772925
BS283,2018,LIDE,3,2.016795473,0.383580113,0.773602635
BS283,2022,LIDE,3,4.038920854,0.383580113,1.549249718
BS313,2018,LIDE,3,2.078503147,0.383580113,0.797272472
BS313,2022,LIDE,3,2.078503147,0.383580113,0.797272472
BS328,2009,LIDE,3,0.049912053,0.383580113,0.019145271
BS328,2011,LIDE,3,0.049912053,0.383580113,0.019145271
BS328,2014,LIDE,3,0.049912053,0.383580113,0.019145271
BS328,2019,LIDE,3,0.049912053,0.383580113,0.019145271
BS328,2022,LIDE,3,0.228990689,0.383580113,0.087836274
BS360,2014,LIDE,3,0.296309129,0.383580113,0.113658289
BS407,2018,LIDE,3,2.921286584,0.383580113,1.120547438
BS423,2021,LIDE,3,0.363391949,0.383580113,0.139389925
BS426,2010,LIDE,3,0.133487646,0.383580113,0.051203206
BS426,2013,LIDE,3,0.133487646,0.383580113,0.051203206
BS426,2018,LIDE,3,1.495010705,0.383580113,0.573456375
BS426,2021,LIDE,3,0.363391949,0.383580113,0.139389925
BS429,2009,LIDE,3,0.225185434,0.383580113,0.086376654
BS429,2010,LIDE,3,0.843719239,0.383580113,0.323633921
BS429,2013,LIDE,3,0.843719239,0.383580113,0.323633921
BS429,2018,LIDE,3,1.649398975,0.383580113,0.632676645
BS429,2022,LIDE,3,5.278189817,0.383580113,2.024608646
BS457,2009,LIDE,3,0.279299368,0.383580113,0.107133683
BS457,2010,LIDE,3,0.519690111,0.383580113,0.199342792
BS457,2013,LIDE,3,0.808013075,0.383580113,0.309937747
BS457,2018,LIDE,3,2.442847234,0.383580113,0.937027618
BS457,2022,LIDE,3,2.207554982,0.383580113,0.846774189
BS494,2010,LIDE,3,0.040251656,0.383580113,0.015439735
BS494,2013,LIDE,3,0.040251656,0.383580113,0.015439735
BS494,2018,LIDE,3,0.766215599,0.383580113,0.293905066
BS494,2022,LIDE,3,0.725963943,0.383580113,0.278465331
BS521,2022,LIDE,3,0.375606697,0.383580113,0.144075259
BS603,2009,LIDE,3,0.344067227,0.383580113,0.131977346
BS603,2010,LIDE,3,0.344067227,0.383580113,0.131977346
BS603,2013,LIDE,3,2.434552683,0.383580113,0.933845993
BS603,2018,LIDE,3,0.265857278,0.383580113,0.101977565
BS603,2022,LIDE,3,0.265857278,0.383580113,0.101977565
BS611,2010,LIDE,3,0.546754931,0.383580113,0.209724318
BS611,2013,LIDE,3,1.112398689,0.383580113,0.426694015
BS611,2018,LIDE,3,0.35633122,0.383580113,0.13668157
BS629,2018,LIDE,3,0.203080403,0.383580113,0.077897604
BS633,2019,LIDE,3,0.064486491,0.383580113,0.024735736
