Plot,SampleYear,Elevation,Slope,BurnScar,PRam,Fire,Easting,Northing
BS292,2014,384,10,control,0,0,602873.399,4038823.128
BS292,2014,384,10,control,0,0,602873.399,4038823.128
BS293,2006,287,21,control,1,0,602716,4037725
BS294,2006,513,27,sober,1,0,602386,4035630
BS295,2009,150,25,dolan,0,0,636020.965,3984419.932
BS295,2007,150,25,dolan,0,0,636020.965,3984419.932
BS295,2010,150,25,dolan,0,0,636020.965,3984419.932
BS295,2013,150,25,dolan,0,0,636020.965,3984419.932
BS295,2018,150,25,dolan,1,0,636020.965,3984419.932
BS295,2021,150,25,dolan,1,1,636020.965,3984419.932
BS296,2009,590,40,dolan_chalk,0,1,637817,3985364
BS296,2006,590,40,dolan_chalk,0,0,637817,3985364
BS296,2021,590,40,dolan_chalk,0,1,637817,3985364
BS297,2009,618,30,dolan_chalk,1,1,639138,3985173
BS297,2006,618,30,dolan_chalk,1,0,639138,3985173
BS297,2010,618,30,dolan_chalk,1,1,639138,3985173
BS297,2013,618,30,dolan_chalk,1,1,639138,3985173
BS297,2018,618,30,dolan_chalk,1,1,639138,3985173
BS297,2021,618,30,dolan_chalk,1,1,639138,3985173
BS299,2009,199,40,dolan_chalk,0,1,637496,3984066
BS299,2006,199,40,dolan_chalk,0,0,637496,3984066
BS299,2021,199,40,dolan_chalk,0,1,637496,3984066
BS301,2009,510,27,dolan_chalk,1,1,637959.891,3983571.371
BS301,2006,510,27,dolan_chalk,0,0,637959.891,3983571.371
